#{"t_start": 1738173668.0426607, "env_id": "CustomHopperWithObstacles-source-v0"}
r,l,t
20.642788,34,0.550536
5.051637,11,0.560114
31.658064,25,0.581209
8.817539,14,0.593046
18.90914,25,0.613996
10.902268,11,0.623214
12.067453,18,0.638111
14.336689,15,0.650352
7.389561,9,0.657727
6.809472,10,0.665864
11.794898,13,0.676407
4.526901,20,0.692527
8.245168,20,0.708466
6.742461,12,0.718059
14.893202,23,0.73765
18.98558,21,0.755272
14.129933,14,0.767002
104.719206,57,0.814638
10.71775,30,0.839885
16.310852,35,0.870656
9.054463,16,0.88564
17.152213,19,0.903406
4.570057,9,0.911872
14.779386,19,0.929768
5.610422,35,0.961977
16.110724,16,0.976344
9.318794,14,0.988841
7.526645,13,1.000472
4.231839,7,1.006729
15.926286,30,1.033432
14.101681,15,1.046845
87.858657,47,1.088315
4.719057,13,1.099933
104.221267,59,1.150876
10.196074,12,1.160811
15.590065,17,1.175011
4.081573,7,1.18088
8.828884,14,1.192513
21.2796,33,1.220187
9.216127,15,1.232688
11.516002,16,1.246075
8.210428,15,1.25855
11.529002,14,1.270301
12.940095,17,1.284566
7.504124,10,1.292904
31.08321,29,1.317075
5.292594,10,1.325475
15.200569,18,1.340683
10.202995,19,1.356579
28.150607,36,1.387382
2.290315,26,1.411026
14.252686,15,1.424762
5.879003,12,1.434913
12.500506,21,1.452535
7.637046,14,1.464254
6.501947,13,1.475152
16.658776,18,1.490175
6.42294,9,1.497747
6.885661,14,1.509406
8.518727,12,1.519416
5.490285,12,1.529428
5.648077,10,1.537729
35.841356,32,1.564384
21.592357,23,1.583601
116.385255,63,1.635802
7.151334,10,1.644131
7.192238,11,1.653242
11.583603,16,1.666682
27.198311,43,1.70248
6.622068,9,1.709997
7.108378,12,1.719935
5.02536,21,1.738395
6.982672,10,1.746764
4.2799,23,1.765991
13.896474,16,1.779341
16.075843,18,1.794405
8.978196,14,1.806069
8.344035,11,1.815205
9.609811,33,1.842813
9.28708,12,1.85289
8.419895,13,1.863696
7.366837,25,1.884587
6.489156,14,1.896364
19.391387,22,1.914749
8.198568,13,1.925718
8.799154,25,1.946629
9.541365,18,1.961716
5.995419,8,1.968432
20.389221,20,1.985081
4.333029,9,1.992674
7.423401,10,2.001115
6.317549,10,2.009537
9.549174,15,2.022069
22.677517,24,2.042125
9.088578,12,2.052175
6.734537,11,2.061686
9.302643,20,2.07847
8.644172,11,2.087607
5.902693,17,2.101812
5.570126,10,2.1102
16.560055,16,2.123624
11.985325,19,2.139485
16.001083,16,2.152864
8.184231,14,2.164817
4.085482,10,2.17324
4.890621,8,2.179948
12.548943,28,2.203298
13.857922,19,2.219083
10.516583,17,2.23349
2.620386,12,2.243601
11.290108,13,2.254503
96.329836,92,2.325406
84.433746,84,2.373645
106.304437,100,2.43101
112.776129,104,2.490407
113.714618,106,2.549577
127.344005,114,2.611247
115.71791,107,2.669802
119.268868,109,2.728323
128.073306,114,2.786111
97.46652,94,2.833845
135.496621,119,2.894099
129.835522,117,2.953386
134.276415,119,3.013677
107.051897,102,3.065274
109.748988,103,3.117988
130.851274,118,3.177768
133.283512,118,3.237508
122.21548,111,3.2936
125.684314,114,3.351487
173.683656,143,3.427419
108.792233,104,3.482711
91.993484,92,3.529341
132.221509,120,3.590252
321.716825,200,3.691352
216.751004,164,3.774363
134.169076,124,3.837189
111.63245,107,3.891453
157.40932,138,3.96171
121.207807,116,4.020547
187.070209,153,4.09809
108.138964,104,4.150854
267.072896,177,4.240536
172.869847,144,4.313415
354.623278,232,4.430733
283.003003,185,4.524584
263.525068,177,4.614106
287.586036,188,4.709542
262.122398,182,4.802059
350.877859,227,4.916936
325.540205,212,5.026504
328.027699,208,5.134097
155.479661,139,5.205977
264.337504,186,5.302316
306.293702,204,5.407844
330.823982,212,5.517521
239.719136,166,5.605327
327.32492,215,5.721106
354.945657,226,5.841899
292.958746,197,5.949207
270.208088,178,6.046188
12.884713,16,7.002738
10.308262,12,7.013128
64.898196,41,7.047686
101.564978,58,7.102376
63.560111,43,7.138647
9.179806,18,7.153881
8.191388,12,7.16401
15.068931,23,7.183505
12.705455,14,7.195215
8.683445,17,7.209539
60.445199,49,7.250873
9.299434,16,7.26498
4.743908,8,7.272134
33.237057,33,7.301401
8.544679,11,7.311122
7.263505,13,7.3225
52.635803,54,7.367866
8.645192,20,7.384819
66.754929,45,7.422722
4.357769,13,7.433848
11.512836,14,7.445652
15.404603,38,7.477661
14.487275,27,7.50041
5.528369,14,7.512323
10.830292,12,7.522414
19.072785,32,7.549499
12.957785,19,7.565605
6.762724,22,7.584166
13.237037,16,7.59783
8.97744,25,7.619102
18.46566,18,7.63453
18.582338,17,7.649579
53.342952,40,7.68424
11.125115,13,7.69549
6.832922,15,7.708671
15.915288,19,7.725444
16.526593,23,7.745467
15.871296,30,7.771762
16.035962,19,7.788388
18.071316,29,7.813834
6.619022,13,7.825339
61.887139,42,7.861897
14.869618,20,7.879468
13.743833,15,7.892704
8.641495,12,7.903265
9.300651,20,7.921018
7.882449,12,7.931527
91.771304,48,7.973044
6.84101,10,7.981708
29.274259,29,8.007191
71.481634,57,8.056989
17.086234,17,8.072367
18.966019,30,8.098433
4.729373,11,8.108094
16.841729,25,8.129877
52.980312,45,8.1688
75.075412,49,8.215036
77.89215,48,8.266134
42.143617,42,8.305604
