#{"t_start": 1736418931.455324, "env_id": "CustomHopper-target-v0"}
r,l,t
23.877717,35,0.552523
7.724429,13,0.562123
17.0101,17,0.574362
21.466035,20,0.588714
15.678718,23,0.605438
12.142204,12,0.614139
13.324195,19,0.627788
15.160667,16,0.639135
14.194688,15,0.649641
13.9939,14,0.659456
5.808067,23,0.675613
9.249288,18,0.688156
6.488353,11,0.695843
12.773083,22,0.71096
10.820456,12,0.719096
10.475016,14,0.728517
7.067521,10,0.735325
104.812552,61,0.775888
19.655302,30,0.795749
25.347207,36,0.819117
8.363078,15,0.828808
10.799915,14,0.83769
5.654172,10,0.844083
17.108405,20,0.856896
9.056674,37,0.880632
10.744261,12,0.888314
13.32425,16,0.898541
8.38753,13,0.906868
4.608085,7,0.911337
18.079387,31,0.931173
12.893639,14,0.940151
87.853336,50,0.971807
8.141618,13,0.980082
59.526023,42,1.006771
9.48972,13,1.01508
10.572619,13,1.023409
15.624383,17,1.034207
5.313224,8,1.039285
9.174339,15,1.048856
23.393038,31,1.068603
9.625431,15,1.078156
13.274914,17,1.088971
8.08942,23,1.103554
16.90463,24,1.119073
16.277832,18,1.130511
21.870253,26,1.147246
19.628228,20,1.16
12.192193,20,1.172772
30.335964,36,1.195826
3.964942,27,1.213063
11.164968,14,1.222056
6.496745,13,1.230364
17.304957,24,1.245705
9.987876,15,1.255158
19.584686,27,1.272388
7.598544,11,1.279437
8.362905,14,1.288293
11.466666,16,1.298427
6.293534,11,1.305416
33.503951,40,1.330921
32.670941,30,1.350041
38.387156,59,1.38756
11.832436,13,1.395882
12.503258,17,1.406722
29.850632,44,1.434781
10.04801,13,1.442915
6.218535,11,1.449896
8.358891,19,1.462011
7.0743,11,1.469004
7.399582,23,1.483698
10.291489,14,1.492561
16.659867,17,1.503355
10.134582,14,1.512117
8.674346,11,1.519003
13.048033,33,1.540116
9.459364,12,1.547805
9.235111,13,1.556059
9.326543,25,1.571977
7.70655,15,1.581544
30.984364,28,1.599347
9.022869,30,1.618399
11.534268,21,1.631831
10.515238,13,1.640045
11.320608,13,1.64835
5.536628,11,1.655375
6.603414,9,1.661156
7.156137,10,1.667593
9.851622,14,1.676512
22.991218,24,1.691766
8.822123,11,1.698745
7.742528,10,1.705038
10.017707,22,1.718979
9.127073,11,1.725921
7.334759,18,1.737426
8.931995,13,1.745763
9.224572,12,1.753335
13.055797,19,1.765474
15.981285,16,1.775625
8.910807,14,1.784564
4.93866,10,1.790892
5.542428,9,1.796598
9.10936,29,1.815041
18.337595,34,1.836694
4.30929,12,1.844333
11.431186,13,1.85261
19.460205,19,2.80349
53.141458,32,2.826483
19.811648,17,2.838539
8.885364,12,2.846946
26.158766,24,2.863951
31.777352,27,2.883065
64.972877,44,2.914232
11.50553,19,2.927768
15.783631,19,2.941323
16.220764,17,2.953449
23.212395,20,2.967734
8.497911,11,2.975426
60.198364,50,3.010603
8.130858,15,3.021237
5.272592,8,3.026911
41.145956,33,3.050202
6.67613,9,3.056535
8.838807,15,3.06722
52.465445,53,3.104706
37.712153,46,3.137422
14.720958,18,3.150303
5.95506,14,3.160325
11.638825,14,3.170237
34.652679,41,3.199376
15.389634,26,3.217884
8.944241,13,3.227135
19.138286,16,3.238566
9.656904,25,3.25626
14.992736,21,3.271336
7.870296,22,3.287027
18.061012,18,3.300077
21.160743,24,3.319162
12.041148,14,3.329829
18.759346,19,3.344233
62.129423,43,3.376122
12.560593,13,3.385907
7.945348,13,3.39568
19.744965,20,3.410754
21.443343,21,3.426482
18.476908,30,3.44908
20.599189,21,3.465417
25.369127,29,3.488149
7.621673,10,3.496005
63.154044,43,3.529416
34.485767,35,3.556682
9.782224,13,3.566824
12.759713,22,3.583992
67.156793,50,3.622797
17.470136,18,3.636889
28.503061,28,3.658781
65.667286,52,3.699308
16.624327,18,3.71331
27.278167,42,3.746088
26.541724,28,3.767892
56.163405,45,3.802868
80.202195,53,3.843923
52.01413,40,3.875021
141.277922,87,3.942058
94.68747,80,4.003916
11.929606,19,4.018642
26.072881,31,4.042824
82.738231,48,4.080089
25.316987,24,4.09873
22.383666,35,4.126025
56.903293,38,4.155392
13.78121,16,4.167866
14.601052,32,4.192637
12.549704,16,4.204874
9.420779,13,4.214722
15.89798,17,4.226971
59.029094,54,4.265049
47.860354,37,4.28985
9.787716,12,4.297765
10.6472,17,4.309084
83.729716,86,5.114584
13.708919,15,5.125396
71.251437,49,5.159905
103.072289,63,5.204371
14.58528,25,5.222322
13.187637,32,5.244902
159.143697,85,5.30494
81.308835,46,5.343502
19.799148,26,5.361758
63.715866,46,5.393589
22.288422,20,5.40739
127.962896,69,5.454364
88.2287,63,5.496235
22.616475,19,5.50895
15.652355,18,5.520878
17.889953,21,5.534676
140.47031,80,5.585939
12.066929,22,5.600056
94.846641,65,5.641287
97.415985,85,5.695134
65.767207,41,5.72107
10.622158,14,5.729922
34.591619,37,5.753322
10.104983,18,5.764756
6.703452,8,5.769855
74.19976,61,5.808655
70.777246,54,5.842863
22.67879,21,5.856245
25.729477,24,5.871531
10.255271,21,5.884759
114.602966,61,5.923404
62.037264,41,5.949467
80.849018,50,5.980945
8.358859,15,5.990499
104.184162,67,6.03312
9.228969,11,6.040219
15.914073,24,6.055577
9.996242,13,6.063816
7.21173,9,6.069445
56.276272,34,6.091074
18.92707,17,6.101848
78.286236,48,6.132289
41.518118,42,6.158974
111.669336,65,6.19996
69.761122,43,6.227187
82.998805,49,6.25826
35.984711,43,6.285621
43.841857,41,6.31153
9.332404,12,6.319322
24.084722,21,6.332773
74.943825,50,6.364325
196.823609,94,7.179268
27.679871,25,7.197297
109.484134,60,7.240063
75.197521,45,7.272157
188.528003,97,7.341391
131.568074,69,7.390479
110.494136,67,7.438185
20.848711,20,7.452477
49.221668,37,7.478933
19.728651,19,7.492594
91.851541,53,7.530102
93.561462,62,7.574602
86.850415,52,7.611311
70.627104,45,7.643283
73.933798,55,7.682749
20.152816,23,7.699176
77.004556,56,7.739102
49.927167,45,7.771362
55.403316,33,7.795125
112.336709,60,7.83754
92.751419,53,7.875329
75.614368,53,7.913423
11.724409,14,7.923401
160.428238,78,7.981266
9.815136,15,7.992317
51.139373,35,8.018363
11.412348,18,8.031796
17.002833,21,8.047441
9.832549,13,8.057111
80.650748,71,8.109967
29.374385,38,8.138399
9.454902,12,8.147261
25.621439,24,8.165086
70.691608,42,8.196473
80.559818,47,8.231293
23.667294,21,8.246975
4.882423,11,8.255233
82.446708,53,8.294172
26.762418,25,8.312767
74.191996,48,8.347204
73.885642,47,8.380797
73.865784,44,8.41192
78.660829,46,8.44473
29.37429,33,8.468281
69.098899,41,8.497536
94.96813,68,8.546361
32.844639,40,8.574991
21.791509,24,8.592277
12.744651,16,8.603602
128.39056,70,9.430865
23.27152,22,9.446619
146.720589,82,9.504422
168.752512,88,9.566362
59.969962,36,9.592025
42.074341,36,9.617636
76.677015,50,9.653088
68.474144,41,9.682356
163.598315,78,9.737612
70.644938,43,9.768239
68.699563,43,9.798754
93.927254,63,9.843601
53.825765,69,9.892319
17.563997,18,9.904969
47.527564,28,9.924849
110.645617,96,9.992683
135.578414,71,10.043019
61.403562,46,10.07562
150.03477,87,10.137495
105.861043,65,10.184533
93.438971,60,10.229
8.228304,10,10.23645
126.630089,65,10.284384
77.270257,45,10.317737
50.713819,36,10.344072
65.604091,40,10.373632
70.590936,42,10.404735
94.727051,52,10.442909
139.205521,71,10.493049
72.714772,43,10.523716
141.102599,82,10.581871
60.807287,37,10.60821
97.919484,66,10.655074
66.006201,40,10.683415
66.570313,40,10.711794
215.264972,142,10.812351
222.955591,114,11.664893
174.235864,87,11.726385
158.118494,79,11.782226
211.334624,106,11.857106
173.98563,83,11.915586
91.613688,56,11.955161
78.495769,50,11.990748
142.065963,71,12.040885
109.345745,61,12.083919
58.319822,34,12.107872
73.699924,44,12.139059
85.957711,49,12.173432
41.913237,39,12.200782
81.864983,54,12.237902
140.978425,72,12.28634
234.057175,116,12.361615
267.214373,139,12.449707
72.099794,42,12.476151
225.496039,108,12.544049
76.377128,45,12.572341
85.62257,50,12.603695
171.833768,83,12.656227
67.06583,40,12.681494
212.308287,94,12.740484
105.621951,57,12.776141
147.170538,74,12.822669
212.332705,108,12.890504
96.324368,55,12.924936
149.377215,75,12.972152
60.974459,36,12.994954
85.945257,51,13.807134
83.16409,48,13.841611
145.117879,81,13.899095
117.537726,63,13.943779
75.144275,56,13.983876
181.15498,89,14.047463
238.942438,126,14.137212
172.290094,87,14.198869
52.049078,32,14.221611
207.722618,101,14.292942
161.235974,80,14.350036
103.121373,65,14.396294
131.236792,67,14.443666
94.96821,55,14.48263
112.603823,67,14.53077
79.556003,46,14.564481
92.276116,55,14.603782
73.078965,50,14.639495
233.72254,109,14.716488
183.265742,88,14.778833
82.287864,48,14.812676
66.94175,40,14.84088
204.01554,106,14.915818
116.39848,63,14.960133
232.658074,118,15.043811
102.167555,54,15.081877
112.214451,61,15.124853
229.112481,115,15.20623
101.66018,58,16.018474
160.821724,81,16.075728
72.663559,43,16.106239
104.916259,58,16.147401
148.992713,90,16.211211
66.00226,38,16.23797
236.644912,106,16.312921
228.410909,114,16.393374
232.379897,111,16.471595
112.472912,60,16.513679
154.060019,95,16.580856
86.74494,62,16.624972
61.056519,40,16.653469
74.003597,43,16.684221
79.36593,46,16.71681
197.929513,98,16.786445
90.845472,52,16.822528
190.454214,102,16.89181
128.252557,67,16.936354
144.827787,74,16.984674
247.406361,112,17.055378
209.880871,105,17.122534
179.834841,89,17.178594
231.954136,124,17.257007
59.994671,40,17.282146
225.280449,106,17.349019
225.463886,100,18.122083
219.954061,104,18.1904
231.029821,110,18.26142
227.231318,103,18.327474
62.132156,37,18.351068
240.363252,132,18.434454
59.031118,35,18.456734
65.217535,39,18.481302
106.567455,62,18.52042
134.135942,72,18.565671
234.275277,111,18.635087
110.462485,60,18.672664
73.966418,46,18.701715
64.128455,39,18.726339
65.301312,39,18.751004
192.041578,102,18.815609
142.834304,76,18.863146
209.952309,118,18.937632
165.381484,91,18.995494
212.598724,102,19.059597
218.456216,118,19.134159
177.422557,101,19.197819
231.90519,121,19.274101
129.202674,70,19.318159
161.474181,84,19.371024
195.376,98,20.207788
221.106714,111,20.286449
243.57091,127,20.377618
237.792139,113,20.455567
143.400407,74,20.505583
